Work Item,Duration,Start,End
1_BB_weiss,0:00:03,04.12.2020 18:34:54,04.12.2020 18:34:57
4_BB_blau,0:00:52,04.12.2020 18:34:02,04.12.2020 18:34:54
1_BB_weiss,0:00:50,04.12.2020 18:33:12,04.12.2020 18:34:02
5_TA_blau,0:00:12,04.12.2020 18:33:00,04.12.2020 18:33:12
4_BB_blau,0:00:06,04.12.2020 18:32:54,04.12.2020 18:33:00
5_TA_blau,0:00:08,04.12.2020 18:32:46,04.12.2020 18:32:54
4_BB_blau,0:01:21,04.12.2020 18:31:25,04.12.2020 18:32:46
2_Scrum,0:00:08,04.12.2020 18:31:17,04.12.2020 18:31:25
0_TA_weiss,0:00:25,04.12.2020 18:30:52,04.12.2020 18:31:17
1_BB_weiss,0:00:12,04.12.2020 18:30:40,04.12.2020 18:30:52
6_Unterbrechung,0:00:33,04.12.2020 18:30:07,04.12.2020 18:30:40
5_TA_blau,0:00:06,04.12.2020 18:30:01,04.12.2020 18:30:07
4_BB_blau,0:00:06,04.12.2020 18:29:55,04.12.2020 18:30:01
5_TA_blau,0:00:03,04.12.2020 18:29:52,04.12.2020 18:29:55
4_BB_blau,0:00:04,04.12.2020 18:29:48,04.12.2020 18:29:52
5_TA_blau,0:00:05,04.12.2020 18:29:43,04.12.2020 18:29:48
4_BB_blau,0:00:14,04.12.2020 18:29:29,04.12.2020 18:29:43
5_TA_blau,0:00:06,04.12.2020 18:29:23,04.12.2020 18:29:29
4_BB_blau,0:00:12,04.12.2020 18:29:11,04.12.2020 18:29:23
5_TA_blau,0:00:03,04.12.2020 18:29:08,04.12.2020 18:29:11
4_BB_blau,0:00:03,04.12.2020 18:29:05,04.12.2020 18:29:08
5_TA_blau,0:00:04,04.12.2020 18:29:01,04.12.2020 18:29:05
4_BB_blau,0:00:32,04.12.2020 18:28:29,04.12.2020 18:29:01
5_TA_blau,0:00:03,04.12.2020 18:28:26,04.12.2020 18:28:29
4_BB_blau,0:00:21,04.12.2020 18:28:05,04.12.2020 18:28:26
1_BB_weiss,0:00:36,04.12.2020 18:27:29,04.12.2020 18:28:05
2_Scrum,0:00:14,04.12.2020 18:27:15,04.12.2020 18:27:29
4_BB_blau,0:00:18,04.12.2020 18:26:57,04.12.2020 18:27:15
5_TA_blau,0:00:05,04.12.2020 18:26:52,04.12.2020 18:26:57
4_BB_blau,0:00:20,04.12.2020 18:26:32,04.12.2020 18:26:52
1_BB_weiss,0:00:02,04.12.2020 18:26:30,04.12.2020 18:26:32
2_Scrum,0:00:05,04.12.2020 18:26:25,04.12.2020 18:26:30
5_TA_blau,0:00:10,04.12.2020 18:26:15,04.12.2020 18:26:25
4_BB_blau,0:00:20,04.12.2020 18:25:55,04.12.2020 18:26:15
6_Unterbrechung,0:01:42,04.12.2020 18:24:13,04.12.2020 18:25:55
1_BB_weiss,0:00:07,04.12.2020 18:24:06,04.12.2020 18:24:13
5_TA_blau,0:00:11,04.12.2020 18:23:55,04.12.2020 18:24:06
4_BB_blau,0:00:21,04.12.2020 18:23:34,04.12.2020 18:23:55
6_Unterbrechung,0:00:09,04.12.2020 18:23:25,04.12.2020 18:23:34
2_Scrum,0:00:14,04.12.2020 18:23:11,04.12.2020 18:23:25
5_TA_blau,0:00:11,04.12.2020 18:23:00,04.12.2020 18:23:11
4_BB_blau,0:00:01,04.12.2020 18:22:59,04.12.2020 18:23:00
2_Scrum,0:00:06,04.12.2020 18:22:53,04.12.2020 18:22:59
5_TA_blau,0:00:07,04.12.2020 18:22:46,04.12.2020 18:22:53
4_BB_blau,0:00:18,04.12.2020 18:22:28,04.12.2020 18:22:46
5_TA_blau,0:00:04,04.12.2020 18:22:24,04.12.2020 18:22:28
4_BB_blau,0:00:06,04.12.2020 18:22:18,04.12.2020 18:22:24
5_TA_blau,0:00:13,04.12.2020 18:22:05,04.12.2020 18:22:18
4_BB_blau,0:00:07,04.12.2020 18:21:58,04.12.2020 18:22:05
5_TA_blau,0:00:05,04.12.2020 18:21:53,04.12.2020 18:21:58
4_BB_blau,0:00:04,04.12.2020 18:21:49,04.12.2020 18:21:53
1_BB_weiss,0:00:04,04.12.2020 18:21:45,04.12.2020 18:21:49
5_TA_blau,0:00:04,04.12.2020 18:21:41,04.12.2020 18:21:45
4_BB_blau,0:01:09,04.12.2020 18:20:32,04.12.2020 18:21:41
6_Unterbrechung,0:00:39,04.12.2020 18:19:53,04.12.2020 18:20:32
0_TA_weiss,0:00:03,04.12.2020 18:19:50,04.12.2020 18:19:53
6_Unterbrechung,0:01:16,04.12.2020 18:18:34,04.12.2020 18:19:50
1_BB_weiss,0:00:07,04.12.2020 18:18:27,04.12.2020 18:18:34
0_TA_weiss,0:00:07,04.12.2020 18:18:20,04.12.2020 18:18:27
1_BB_weiss,0:00:29,04.12.2020 18:17:51,04.12.2020 18:18:20
4_BB_blau,0:00:09,04.12.2020 18:17:42,04.12.2020 18:17:51
5_TA_blau,0:00:01,04.12.2020 18:17:41,04.12.2020 18:17:42
4_BB_blau,0:00:05,04.12.2020 18:17:36,04.12.2020 18:17:41
5_TA_blau,0:00:07,04.12.2020 18:17:29,04.12.2020 18:17:36
4_BB_blau,0:00:10,04.12.2020 18:17:19,04.12.2020 18:17:29
2_Scrum,0:00:02,04.12.2020 18:17:17,04.12.2020 18:17:19
4_BB_blau,0:00:13,04.12.2020 18:17:04,04.12.2020 18:17:17
5_TA_blau,0:00:05,04.12.2020 18:16:59,04.12.2020 18:17:04
4_BB_blau,0:00:07,04.12.2020 18:16:52,04.12.2020 18:16:59
1_BB_weiss,0:00:03,04.12.2020 18:16:49,04.12.2020 18:16:52
4_BB_blau,0:00:32,04.12.2020 18:16:17,04.12.2020 18:16:49
6_Unterbrechung,0:00:20,04.12.2020 18:15:57,04.12.2020 18:16:17
1_BB_weiss,0:00:17,04.12.2020 18:15:40,04.12.2020 18:15:57
4_BB_blau,0:00:21,04.12.2020 18:15:19,04.12.2020 18:15:40
6_Unterbrechung,0:00:14,04.12.2020 18:15:05,04.12.2020 18:15:19
1_BB_weiss,0:00:07,04.12.2020 18:14:58,04.12.2020 18:15:05
